what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1700575069655
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1700575069655
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1700575069655
java.vm.specification.version,sysinfo,,,"1.0",1700575069655
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1700575069655
java.vm.version,sysinfo,,,"19.0-b09",1700575069655
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1700575069907
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1700575069948
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1700575070023
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1700575070068
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1700575071400
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1700575071842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1700575160922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700575205426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700575501408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700575502567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700575504097
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1700575504218
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700575504336
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1700575504886
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1700575505365
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1700688931267
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1700688931268
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1700688931268
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1700688931269
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1700688931269
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1700688931269
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1700688931269
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1700688931270
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1700688931270
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1700688931270
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1700688931270
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1700688931271
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1700688931271
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1700688931271
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1700688931271
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1700688931271
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1700688931272
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1700688931272
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1700688931272
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1700688931273
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1700688931273
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1700688931273
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1700688931273
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1700688931274
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1700688931275
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1700688931275
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1700688931275
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1700688931275
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1700688931276
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1700688931277
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1700688931278
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1700688931278
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1700688931278
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1700688931279
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1700688931279
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1700688931281
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1700688931281
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1700688931281
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1700688931282
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1700688931283
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1700688931283
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1700688931284
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1700688931285
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1700688931285
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1700688931286
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1700688931286
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1700688931286
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1700688931286
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1700688931286
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1700688931287
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1700688931369
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1700688931370
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1700688931370
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1700688931381
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1700688931381
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1700688931381
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1700688931382
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1700688931382
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1700688931383
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1700688931383
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1700688931384
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1700688931384
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1700688931384
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1700688931384
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1700688931384
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1700688931384
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1700688931385
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1700688931387
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1700688931387
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1700688931388
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1700688931388
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1700688931388
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1700688931389
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1700688931390
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1700688931391
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1700688931391
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1700688931391
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1700688931391
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1700688931393
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1700688931393
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1700688931393
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1700688931393
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1700688931394
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1700688931394
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1700688931394
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1700688931395
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1700688931395
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1700688931396
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1700688931404
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1700688931404
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1700688931405
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1700688931405
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1700688931407
os,sysinfo,,,"win32",1700688931408
arch,sysinfo,,,"x86",1700688931408
ws,sysinfo,,,"win32",1700688931408
locale,sysinfo,,,"es_MX",1700688931408
processors,sysinfo,,,"12",1700688931408
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1700688931408
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1700688931408
java.specification.name,sysinfo,,,"Java Platform API Specification",1700688931408
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1700688931408
java.specification.version,sysinfo,,,"1.6",1700688931408
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1700688931408
java.version,sysinfo,,,"1.6.0_23",1700688931408
java.vm.info,sysinfo,,,"mixed mode",1700688931408
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1700688931408
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1700688931408
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1700688931408
java.vm.specification.version,sysinfo,,,"1.0",1700688931408
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1700688931408
java.vm.version,sysinfo,,,"19.0-b09",1700688931408
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1700688931418
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1700688931451
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1700688932366
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1700688932424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700688932581
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1700688932927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700688936412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700688952177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689006159
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1700689006210
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1700689010818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689016482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689017444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689019251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689021609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689023765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689084168
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1700689084199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1700689089267
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1700689094850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1700689100607
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1700689104213
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1700689104257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1700689105599
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1700689113195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1700689114151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1700689164702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689166481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689251003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689273557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689281746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689363216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689375246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689378572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689694541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1700689705908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689707503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689870898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689875718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689883678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700689886266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690063622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690065721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690069446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690070549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690070610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690070660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690329314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690333573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690338390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700690340601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691101313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691103494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691107524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691108791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691110798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1700691114378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691116197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691224168
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1700691226680
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1700691227398
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1700691240136
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1700691240248
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1700691240256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691243294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691244419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691244805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691250162
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1700691250283
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1700691250303
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1700691250332
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1700691250584
error,log,,,"Error starting process.",1700691261341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691261374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691264082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1700691268185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1700691271377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691272228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691381730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700691384627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700693412088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700693412922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700693414540
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1700693414742
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1700693414868
